feature,psi,drift_status
V1,1.54498,significant_drift
V2,0.898014,significant_drift
V3,2.46918,significant_drift
V4,2.304325,significant_drift
V5,0.164789,moderate_drift
V6,1.676544,significant_drift
V7,0.924177,significant_drift
V8,1.162199,significant_drift
V9,2.380989,significant_drift
V10,1.676501,significant_drift
V11,1.000827,significant_drift
V12,1.091602,significant_drift
V13,0.924198,significant_drift
V14,2.597281,significant_drift
V15,1.573621,significant_drift
V16,1.034036,significant_drift
V17,0.164792,moderate_drift
V18,0.303432,significant_drift
V19,0.193567,moderate_drift
V20,0.193557,moderate_drift
V21,2.455012,significant_drift
V22,0.898014,significant_drift
V23,2.304365,significant_drift
V24,0.972066,significant_drift
V25,0.164792,moderate_drift
V26,1.731436,significant_drift
V27,1.007896,significant_drift
V28,0.785936,significant_drift
Amount,0.353611,significant_drift
